unemployment_rate,hpi_change_annual,gdp_growth_annual,pd_multiplier,lgd_multiplier,portfolio_loss,loss_rate
8.796094,-6.5937123,1.5555019,2.1240234,1.0989057,62145970000.0,0.10263142
4.814817,10.899338,1.2053511,1.1287042,1.0,29843732000.0,0.049285654
4.3314815,2.2443275,0.75754666,1.0078703,1.0,26601450000.0,0.04393116
4.8489637,3.4530773,1.8123502,1.1372409,1.0,30072801000.0,0.04966395
6.5712266,6.9063306,-0.39890325,1.5877517,1.0,42161120000.0,0.06962729
5.176772,7.3662376,-0.46026182,1.2422061,1.0,32889287000.0,0.054315254
4.446034,7.09894,2.1874504,1.0365084,1.0,27369884000.0,0.045200195
6.870454,4.772902,3.0494282,1.6426134,1.0,43632996000.0,0.07205804
4.3769784,-3.6545568,1.1057935,1.0192446,1.0548184,28382204000.0,0.046872
8.403314,9.195382,1.3679365,2.0258284,1.0,53890114000.0,0.08899722
3.170093,3.6587558,2.442163,1.0,1.0,26390268000.0,0.043582402
4.638997,6.1163383,0.5707958,1.0847492,1.0,28664312000.0,0.04733789
2.0,15.972828,3.053666,1.0,1.0,26390268000.0,0.043582402
5.285307,8.296674,1.3356746,1.2463267,1.0,32999850000.0,0.054497845
5.749559,8.772978,2.1599786,1.3623897,1.0,36114120000.0,0.059640933
7.168154,2.1742966,0.87125534,1.7170384,1.0,45629190000.0,0.075354666
4.7294717,3.0720186,-0.3391738,1.1243266,1.0,29726276000.0,0.049091678
5.2316346,1.2962384,1.6185861,1.2329086,1.0,32639810000.0,0.053903256
7.616336,2.1157615,3.5572457,1.8290839,1.0,48632170000.0,0.08031395
7.8361444,-4.232741,-0.6104051,1.9145563,1.0634911,54181860000.0,0.08947903
9.06321,15.764643,0.7411737,2.1908023,1.0,58269827000.0,0.096230134
8.188451,-0.2431531,1.3430068,1.9721127,1.0036473,52650734000.0,0.08695044
6.5387216,10.451533,-1.3879112,1.6290759,1.0,43269820000.0,0.071458265
4.472845,19.84222,2.6854455,1.0432112,1.0,27549740000.0,0.04549722
6.1676455,-0.3073287,-1.5926763,1.5465451,1.00461,41246007000.0,0.068116024
7.4859743,7.424127,0.3883859,1.7964935,1.0,47759032000.0,0.078872
9.921717,6.4534636,0.19358003,2.4054291,1.0,63891750000.0,0.105514504
6.1743684,-3.7541518,0.5787359,1.468592,1.0563123,41171220000.0,0.067992516
4.523581,1.4524739,1.4545056,1.0558952,1.0,27890080000.0,0.046059277
5.3279324,10.127711,3.2143393,1.256983,1.0,33285794000.0,0.05497007
7.3164434,-1.1226387,2.7736273,1.7541108,1.0168396,47414610000.0,0.07830321
3.613024,7.6212044,1.507323,1.0,1.0,26390268000.0,0.043582402
4.7577763,7.1427603,-0.5098027,1.1399342,1.0,30145067000.0,0.049783293
6.3128934,1.2608488,-0.58725226,1.5325859,1.0,40680923000.0,0.06718281
3.2291071,-1.6106434,-1.0110503,1.0505525,1.0241597,28417704000.0,0.046930626
4.426923,11.426124,1.2699281,1.0317307,1.0,27241685000.0,0.044988483
6.297268,-4.3374677,0.20593524,1.4993169,1.065062,42393272000.0,0.070010684
6.8650618,6.914747,0.26471472,1.6412654,1.0,43596837000.0,0.07199832
5.460261,2.5299647,-0.8014878,1.3301395,1.0,35248767000.0,0.058211837
6.4636407,2.5822449,2.1178815,1.5409101,1.0,40904286000.0,0.06755169
3.7498446,7.557209,0.80067366,1.0,1.0,26390268000.0,0.043582402
6.4761124,19.767862,2.8538544,1.544028,1.0,40987943000.0,0.06768984
7.457983,7.411945,2.7892573,1.7894957,1.0,47571505000.0,0.07856231
4.9905496,6.423355,0.42865646,1.1726373,1.0,31022578000.0,0.051232465
6.5372877,10.798412,2.4072423,1.5593219,1.0,41398305000.0,0.06836753
5.538604,10.437399,1.321389,1.3096509,1.0,34699006000.0,0.057303928
5.539476,17.390244,1.8024702,1.3098689,1.0,34704860000.0,0.057313595
6.778141,4.380333,-1.8011047,1.7095904,1.0,45429465000.0,0.07502483
5.6399918,-2.938375,0.5279326,1.3349979,1.0440756,36945924000.0,0.06101462
5.752857,17.449951,3.944862,1.3632143,1.0,36136250000.0,0.059677478
8.416612,-4.9835677,-0.47845054,2.0530753,1.0747535,58738053000.0,0.09700339
5.669595,-5.9578176,0.9537351,1.3423986,1.0893673,38772597000.0,0.06403129
6.217316,2.8071573,-0.07526028,1.483092,1.0,39352880000.0,0.064989604
6.2407923,10.399586,4.1131105,1.485198,1.0,39409394000.0,0.06508294
6.3864236,4.7663903,0.33969748,1.5216058,1.0,40386310000.0,0.06669627
2.630313,4.9435315,4.332667,1.0,1.0,26390268000.0,0.043582402
6.291204,0.6157031,1.1426921,1.497801,1.0,39747560000.0,0.0656414
3.6069567,6.8671446,1.8518319,1.0,1.0,26390268000.0,0.043582402
4.2529793,4.7087965,1.8886206,1.0,1.0,26390268000.0,0.043582402
5.833442,-1.059113,2.2537851,1.3833605,1.0158867,37262570000.0,0.061537545
2.192726,-2.4392505,3.2884288,1.0,1.0365888,27355890000.0,0.045177087
5.756238,8.480321,2.5900517,1.3640594,1.0,36158930000.0,0.059714932
6.7075834,-5.4490237,4.236995,1.6018958,1.0817354,46042400000.0,0.07603706
2.6942863,7.9294167,2.2283242,1.0,1.0,26390268000.0,0.043582402
6.131903,8.416701,4.1026587,1.4579757,1.0,38678940000.0,0.06387662
6.232226,7.330741,1.2042738,1.4830564,1.0,39351930000.0,0.06498804
4.0213003,9.894792,1.8442692,1.0,1.0,26390268000.0,0.043582402
2.7027395,8.336502,2.2525616,1.0,1.0,26390268000.0,0.043582402
5.3923883,8.792021,5.790741,1.273097,1.0,33718170000.0,0.05568412
5.393365,-0.11657715,3.3698173,1.2733412,1.0017487,33783935000.0,0.05579273
7.0530734,8.388199,1.9562467,1.6882683,1.0,44857630000.0,0.07408047
